ticket_id,title,description,category,priority,resolution_hint,language,source,title_clean,description_clean,text
TRX-1170,PowerPoint police manquante Urgent pour une livraison client.,Présentation avec polices non installées. Deadline aujourd'hui 17h.,software,low,Installer polices corporate Tritux.,fr,synthetic_tritux_v1,powerpoint police manquante urgent pour une livraison client.,présentation avec polices non installées. deadline aujourd hui 17h.,powerpoint police manquante urgent pour une livraison client. présentation avec polices non installées. deadline aujourd hui 17h.
TRX-1226,Imprimante bureau n'imprime pas Depuis la dernière mise à jour Windows.,"Travaux en file d'attente, status offline. Aucun changement matériel de mon côté.",hardware,medium,"Redémarrer spooler, vérifier IP imprimante.",fr,synthetic_tritux_v1,imprimante bureau n imprime pas depuis la dernière mise à jour windows.,travaux en file d attente status offline. aucun changement matériel de mon côté.,imprimante bureau n imprime pas depuis la dernière mise à jour windows. travaux en file d attente status offline. aucun changement matériel de mon côté.
TRX-1231,Webcam intégrée noire Problème reproduit sur 2 postes.,Caméra allumée mais image noire dans Teams. Captures d'écran disponibles.,hardware,medium,"Réinstaller pilote caméra, privacy settings.",fr,synthetic_tritux_v1,webcam intégrée noire problème reproduit sur 2 postes.,caméra allumée mais image noire dans teams. captures d écran disponibles.,webcam intégrée noire problème reproduit sur 2 postes. caméra allumée mais image noire dans teams. captures d écran disponibles.
TRX-1345,Calendrier Teams non synchronisé Problème reproduit sur 2 postes.,RDV Outlook absents de Teams. Captures d'écran disponibles.,email,medium,Repair sync M365 calendar.,fr,synthetic_tritux_v1,calendrier teams non synchronisé problème reproduit sur 2 postes.,rdv outlook absents de teams. captures d écran disponibles.,calendrier teams non synchronisé problème reproduit sur 2 postes. rdv outlook absents de teams. captures d écran disponibles.
TRX-1337,Mails partent en spam chez clients Merci de traiter rapidement.,Plaintes SPF/DKIM fail. Impact sur mon activité quotidienne.,email,high,Vérifier enregistrements DNS mail.,fr,synthetic_tritux_v1,mails partent en spam chez clients merci de traiter rapidement.,plaintes spf/dkim fail. impact sur mon activité quotidienne.,mails partent en spam chez clients merci de traiter rapidement. plaintes spf/dkim fail. impact sur mon activité quotidienne.
TRX-1106,Lien suspect dans Teams Depuis la dernière mise à jour Windows.,Collègue a collé un lien raccourci douteux. Aucun changement matériel de mon côté.,security,high,"Ne pas ouvrir, signaler au SOC Tritux.",fr,synthetic_tritux_v1,lien suspect dans teams depuis la dernière mise à jour windows.,collègue a collé un lien raccourci douteux. aucun changement matériel de mon côté.,lien suspect dans teams depuis la dernière mise à jour windows. collègue a collé un lien raccourci douteux. aucun changement matériel de mon côté.
TRX-1199,Clavier certain touches mortes Merci de traiter rapidement.,Touches E et R ne répondent plus. Impact sur mon activité quotidienne.,hardware,low,Nettoyage / remplacement clavier.,fr,synthetic_tritux_v1,clavier certain touches mortes merci de traiter rapidement.,touches e et r ne répondent plus. impact sur mon activité quotidienne.,clavier certain touches mortes merci de traiter rapidement. touches e et r ne répondent plus. impact sur mon activité quotidienne.
TRX-1300,Alias email non reçu,L'alias prenom.nom2 n'arrive pas.,account,medium,Vérifier proxyAddresses Exchange.,fr,synthetic_tritux_v1,alias email non reçu,l alias prenom.nom2 n arrive pas.,alias email non reçu l alias prenom.nom2 n arrive pas.
TRX-1374,Demande formation Excel avancé Urgent pour une livraison client.,Souhait formation tableaux croisés. Deadline aujourd'hui 17h.,other,low,Orienter catalogue formation Tritux.,fr,synthetic_tritux_v1,demande formation excel avancé urgent pour une livraison client.,souhait formation tableaux croisés. deadline aujourd hui 17h.,demande formation excel avancé urgent pour une livraison client. souhait formation tableaux croisés. deadline aujourd hui 17h.
TRX-1163,OneDrive synchronisation bloquée Merci de traiter rapidement.,"Icône rouge, fichiers hors ligne non sync. Impact sur mon activité quotidienne.",software,medium,"Reset OneDrive, espace disque, droits.",fr,synthetic_tritux_v1,onedrive synchronisation bloquée merci de traiter rapidement.,icône rouge fichiers hors ligne non sync. impact sur mon activité quotidienne.,onedrive synchronisation bloquée merci de traiter rapidement. icône rouge fichiers hors ligne non sync. impact sur mon activité quotidienne.
TRX-1162,OneDrive synchronisation bloquée,"Icône rouge, fichiers hors ligne non sync.",software,medium,"Reset OneDrive, espace disque, droits.",fr,synthetic_tritux_v1,onedrive synchronisation bloquée,icône rouge fichiers hors ligne non sync.,onedrive synchronisation bloquée icône rouge fichiers hors ligne non sync.
TRX-1094,MFA ne fonctionne plus Depuis la dernière mise à jour Windows.,Codes Authenticator incorrects pour la connexion Office. Aucun changement matériel de mon côté.,security,high,Resynchroniser MFA / réenregistrer appareil.,fr,synthetic_tritux_v1,mfa ne fonctionne plus depuis la dernière mise à jour windows.,codes authenticator incorrects pour la connexion office. aucun changement matériel de mon côté.,mfa ne fonctionne plus depuis la dernière mise à jour windows. codes authenticator incorrects pour la connexion office. aucun changement matériel de mon côté.
TRX-1041,DNS ne résout pas les sites internes En télétravail uniquement.,intranet.tritux.local ne répond pas. Sur site le problème n'apparaît pas.,network,high,"Pointer DNS vers contrôleurs Tritux, flushdns.",fr,synthetic_tritux_v1,dns ne résout pas les sites internes en télétravail uniquement.,intranet.tritux.local ne répond pas. sur site le problème n apparaît pas.,dns ne résout pas les sites internes en télétravail uniquement. intranet.tritux.local ne répond pas. sur site le problème n apparaît pas.
TRX-1263,Compte verrouillé après tentatives En télétravail uniquement.,"Trop d'échecs de connexion, compte lock. Sur site le problème n'apparaît pas.",account,high,Unlock Active Directory / Azure AD.,fr,synthetic_tritux_v1,compte verrouillé après tentatives en télétravail uniquement.,trop d échecs de connexion compte lock. sur site le problème n apparaît pas.,compte verrouillé après tentatives en télétravail uniquement. trop d échecs de connexion compte lock. sur site le problème n apparaît pas.
TRX-1291,Accès VPN non provisionné Problème reproduit sur 2 postes.,Compte ok mais groupe VPN manquant. Captures d'écran disponibles.,account,high,Ajouter au groupe VPN-Users.,fr,synthetic_tritux_v1,accès vpn non provisionné problème reproduit sur 2 postes.,compte ok mais groupe vpn manquant. captures d écran disponibles.,accès vpn non provisionné problème reproduit sur 2 postes. compte ok mais groupe vpn manquant. captures d écran disponibles.
TRX-1160,Adobe Reader ne s'ouvre pas Depuis la dernière mise à jour Windows.,PDF s'ouvre dans le navigateur uniquement. Aucun changement matériel de mon côté.,software,low,Réparer/réinstaller Acrobat Reader.,fr,synthetic_tritux_v1,adobe reader ne s ouvre pas depuis la dernière mise à jour windows.,pdf s ouvre dans le navigateur uniquement. aucun changement matériel de mon côté.,adobe reader ne s ouvre pas depuis la dernière mise à jour windows. pdf s ouvre dans le navigateur uniquement. aucun changement matériel de mon côté.
TRX-1318,Pièces jointes bloquées,PDF > 10 Mo refusés à l'envoi.,email,medium,"Utiliser OneDrive link, quota PJ.",fr,synthetic_tritux_v1,pièces jointes bloquées,pdf 10 mo refusés à l envoi.,pièces jointes bloquées pdf 10 mo refusés à l envoi.
TRX-1011,VPN se déconnecte toutes les 10 minutes En télétravail uniquement.,"La session VPN tombe régulièrement, surtout sur Wi-Fi public. Sur site le problème n'apparaît pas.",network,high,"Stabiliser la session: keepalive, MTU, éviter captive portal.",fr,synthetic_tritux_v1,vpn se déconnecte toutes les 10 minutes en télétravail uniquement.,la session vpn tombe régulièrement surtout sur wi-fi public. sur site le problème n apparaît pas.,vpn se déconnecte toutes les 10 minutes en télétravail uniquement. la session vpn tombe régulièrement surtout sur wi-fi public. sur site le problème n apparaît pas.
