ticket_id,title,description,category,priority,resolution_hint,language,source
TRX-1170,PowerPoint police manquante Urgent pour une livraison client.,Présentation avec polices non installées. Deadline aujourd'hui 17h.,software,low,Installer polices corporate Tritux.,fr,synthetic_tritux_v1
TRX-1226,Imprimante bureau n'imprime pas Depuis la dernière mise à jour Windows.,"Travaux en file d'attente, status offline. Aucun changement matériel de mon côté.",hardware,medium,"Redémarrer spooler, vérifier IP imprimante.",fr,synthetic_tritux_v1
TRX-1231,Webcam intégrée noire Problème reproduit sur 2 postes.,Caméra allumée mais image noire dans Teams. Captures d'écran disponibles.,hardware,medium,"Réinstaller pilote caméra, privacy settings.",fr,synthetic_tritux_v1
TRX-1345,Calendrier Teams non synchronisé Problème reproduit sur 2 postes.,RDV Outlook absents de Teams. Captures d'écran disponibles.,email,medium,Repair sync M365 calendar.,fr,synthetic_tritux_v1
TRX-1337,Mails partent en spam chez clients Merci de traiter rapidement.,Plaintes SPF/DKIM fail. Impact sur mon activité quotidienne.,email,high,Vérifier enregistrements DNS mail.,fr,synthetic_tritux_v1
TRX-1106,Lien suspect dans Teams Depuis la dernière mise à jour Windows.,Collègue a collé un lien raccourci douteux. Aucun changement matériel de mon côté.,security,high,"Ne pas ouvrir, signaler au SOC Tritux.",fr,synthetic_tritux_v1
TRX-1199,Clavier certain touches mortes Merci de traiter rapidement.,Touches E et R ne répondent plus. Impact sur mon activité quotidienne.,hardware,low,Nettoyage / remplacement clavier.,fr,synthetic_tritux_v1
TRX-1300,Alias email non reçu,L'alias prenom.nom2 n'arrive pas.,account,medium,Vérifier proxyAddresses Exchange.,fr,synthetic_tritux_v1
TRX-1374,Demande formation Excel avancé Urgent pour une livraison client.,Souhait formation tableaux croisés. Deadline aujourd'hui 17h.,other,low,Orienter catalogue formation Tritux.,fr,synthetic_tritux_v1
TRX-1163,OneDrive synchronisation bloquée Merci de traiter rapidement.,"Icône rouge, fichiers hors ligne non sync. Impact sur mon activité quotidienne.",software,medium,"Reset OneDrive, espace disque, droits.",fr,synthetic_tritux_v1
TRX-1162,OneDrive synchronisation bloquée,"Icône rouge, fichiers hors ligne non sync.",software,medium,"Reset OneDrive, espace disque, droits.",fr,synthetic_tritux_v1
TRX-1094,MFA ne fonctionne plus Depuis la dernière mise à jour Windows.,Codes Authenticator incorrects pour la connexion Office. Aucun changement matériel de mon côté.,security,high,Resynchroniser MFA / réenregistrer appareil.,fr,synthetic_tritux_v1
TRX-1041,DNS ne résout pas les sites internes En télétravail uniquement.,intranet.tritux.local ne répond pas. Sur site le problème n'apparaît pas.,network,high,"Pointer DNS vers contrôleurs Tritux, flushdns.",fr,synthetic_tritux_v1
TRX-1263,Compte verrouillé après tentatives En télétravail uniquement.,"Trop d'échecs de connexion, compte lock. Sur site le problème n'apparaît pas.",account,high,Unlock Active Directory / Azure AD.,fr,synthetic_tritux_v1
TRX-1291,Accès VPN non provisionné Problème reproduit sur 2 postes.,Compte ok mais groupe VPN manquant. Captures d'écran disponibles.,account,high,Ajouter au groupe VPN-Users.,fr,synthetic_tritux_v1
